품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
"울프 블라스, 이글호크 까베르네 소비뇽","18,000원",레드,호주,카베르네 소비뇽 (Cabernet Sauvignon) ,1,2,4,4
"울프 블라스, 이글호크 샤르도네","18,000원",화이트,호주,샤르도네 (Chardonnay) ,1,4,2,1
"울프 블라스, 이글호크 멀롯",가격정보없음,레드,호주,메를로 (Merlot) ,1,3,3,3
토스콜로 끼안띠,"22,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"말레 베스, 블라비아",가격정보없음,레드,프랑스,메를로 (Merlot) ,1,3,3,3
바롤로 부시아,가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,5
"안티노리, 구아도 알 타소 베르멘티노","60,000원",화이트,이탈리아,베르멘티노 (Vermentino) ,1,3,3,1
마르께시 안티노리 바디아 아 파시냐노 리제르바 키안티 클라시코,"140,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
"안티노리, 피안 델레 비녜 브루넬로 디 몬탈치노","195,000원",레드,이탈리아,산지오베제 (Sangiovese) ,1,0,0,0
바롱 필립 까베르네 소비뇽,"22,000원",레드,프랑스,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,3,3
바롱 필립 메를로,"22,000원",레드,프랑스,메를로 (Merlot) ,1,3,3,3
바롱 필립 피노 누아,"22,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,5,3,2
"바롱 필립, 소비뇽 블랑",가격정보없음,화이트,프랑스,소비뇽 블랑 (Sauvignon Blanc) ,1,4,3,1
