,품종,당도,산도,바디,타닌
466,소비뇽 블랑 (Sauvignon Blanc) ,1,5,4,1
467,시라/쉬라즈 (Syrah/Shiraz) ,1,3,5,4
468,샤르도네 (Chardonnay) ,1,3,3,1
469,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
470,메를로 (Merlot) ,1,3,4,4
471,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
472,몬테풀치아노 (Montepulciano) ,1,3,4,4
473,몬테풀치아노 (Montepulciano) ,1,3,4,3
474,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
475,산지오베제 (Sangiovese) ,1,3,4,3
476,메를로 (Merlot) ,1,3,4,4
477,리슬링 (Riesling) ,3,4,2,1
478,리슬링 (Riesling) ,5,2,2,1
479,리슬링 (Riesling) ,1,5,2,1
480,리슬링 (Riesling) ,4,2,2,1
481,리슬링 (Riesling) ,3,4,2,1
482,산지오베제 (Sangiovese) ,1,3,4,3
484,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
485,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
486,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
487,세미용 (Semillon) ,1,3,3,1
488,시라/쉬라즈 (Syrah/Shiraz) ,1,4,5,4
489,시라/쉬라즈 (Syrah/Shiraz) ,1,3,4,4
490,산지오베제 (Sangiovese) ,1,4,4,3
491,코르테제 (Cortese) ,1,4,2,1
492,메를로 (Merlot) ,1,3,4,4
493,그릴로 (Grillo) ,1,3,1,1
